date,amount,customer_id,transaction_type,is_known_anomaly,z_score,anomaly_zscore,anomaly_iforest
2024-01-01,1124.1785382528083,1006,payment,False,-0.11411389344195452,False,False
2024-01-02,965.4339247072038,1016,payment,False,-0.23214565625774336,False,False
2024-01-03,1161.922134525173,1013,transfer,False,-0.08605030688281227,False,False
2024-01-04,1380.7574641020065,1002,payment,False,0.07666084998366887,False,False
2024-01-05,941.461656319166,1011,payment,False,-0.2499698144029295,False,False
2024-01-06,941.4657607627048,1012,payment,False,-0.24996676261619202,False,False
2024-01-07,1394.8032038768479,1001,payment,False,0.08710431252799077,False,False
2024-01-08,1191.858682288227,1002,payment,False,-0.06379151380523031,False,False
2024-01-09,882.631403516262,1004,payment,False,-0.2937120132097597,False,False
2024-01-10,1135.6400108964913,1010,payment,False,-0.10559191722882018,False,False
2024-01-11,884.1455767968845,1007,payment,False,-0.2925861763228968,False,False
2024-01-12,883.5675616074358,1011,transfer,False,-0.29301594934146497,False,False
2024-01-13,1060.4905678915086,1006,refund,False,-0.16146796262266633,False,False
2024-01-14,521.6799388355505,1014,payment,False,-0.5620911204792233,False,False
2024-01-15,568.7705418717418,1016,payment,False,-0.5270777315882457,False,False
2024-01-16,8012.918180649019,1003,refund,True,5.007887196298615,True,True
2024-01-17,746.7922199163941,1012,payment,False,-0.39471284682320334,False,False
2024-01-18,1078.5618331488186,1017,payment,False,-0.14803139147236868,False,False
2024-01-19,772.9939811196973,1000,transfer,False,-0.3752309885438623,False,False
2024-01-20,646.9240746661771,1015,payment,False,-0.4689680481163167,False,False
2024-01-21,1366.4121922303884,1012,payment,False,0.06599467562183832,False,False
2024-01-22,943.5559248783661,1009,transfer,False,-0.2484126578838451,False,False
2024-01-23,1016.882051171981,1011,payment,False,-0.1938923075325423,False,False
2024-01-24,643.8129534466358,1001,payment,False,-0.4712812675300298,False,False
2024-01-25,863.9043188687043,1002,payment,False,-0.30763620732244196,False,False
2024-01-26,1027.7306474274665,1009,refund,False,-0.18582602476859916,False,False
2024-01-27,712.2516056444242,1001,transfer,False,-0.42039491250217254,False,False
2024-01-28,4204.671729792478,1012,refund,True,2.176332589235129,False,True
2024-01-29,849.8403275202987,1012,payment,False,-0.31809324050298154,False,False
2024-01-30,927.0765625516808,1017,refund,False,-0.2606655976343959,False,False
2024-01-31,849.5733469426508,1002,transfer,False,-0.3182917492114884,False,False
2024-02-01,1463.0695461272344,1006,payment,False,0.13786254952785146,False,False
2024-02-02,996.6256938155166,1013,transfer,False,-0.2089535654461735,False,False
2024-02-03,735.5722677610249,1019,refund,False,-0.40305524472904836,False,False
2024-02-04,1205.6362280257972,1016,payment,False,-0.05354746221595617,False,False
2024-02-05,694.7890875072444,1011,payment,False,-0.43337886044785756,False,False
2024-02-06,1052.215898751189,1015,payment,False,-0.16762044719228456,False,False
2024-02-07,510.08246903005613,1011,payment,False,-0.5707142149878891,False,False
2024-02-08,667.9534877753924,1014,payment,False,-0.4533319982068244,False,False
2024-02-09,1049.2153089672809,1009,payment,False,-0.1698514829028598,False,False
2024-02-10,1184.6166449988527,1006,transfer,False,-0.06917620314082762,False,False
2024-02-11,1042.8420702974927,1019,transfer,False,-0.17459019231944575,False,False
2024-02-12,6129.964224389678,1004,refund,True,3.6078499301874976,True,True
2024-02-13,5504.270829285378,1000,payment,True,3.1426266211450145,True,True
2024-02-14,630.3695024081431,1016,payment,False,-0.4812769088873045,False,False
2024-02-15,820.0389479013229,1002,payment,False,-0.34025153168657324,False,False
2024-02-16,884.8403072600531,1012,payment,False,-0.29206962171724354,False,False
2024-02-17,4278.550827797155,1013,refund,True,2.2312640919675184,False,True
2024-02-18,1085.9045723921154,1017,transfer,False,-0.14257182697171863,False,False
2024-02-19,4649.102120921677,1003,payment,True,2.5067809826782237,False,True
2024-02-20,1081.0209923486987,1017,transfer,False,-0.14620292694104695,False,False
2024-02-21,903.7294298959209,1004,transfer,False,-0.27802494711091685,False,False
2024-02-22,830.7694999235104,1015,payment,False,-0.3322730186342141,False,False
2024-02-23,1152.9190722102169,1000,transfer,False,-0.09274437537458757,False,False
2024-02-24,1257.7498806239878,1013,payment,False,-0.014799273250369893,False,False
2024-02-25,10562.05352783796,1014,payment,True,6.903251907985738,True,True
2024-02-26,790.1956191943403,1008,payment,False,-0.3624410133760685,False,False
2024-02-27,922.6969060371964,1014,payment,False,-0.26392201413500205,False,False
2024-02-28,1082.815857850891,1016,payment,False,-0.14486838629422275,False,False
2024-02-29,1243.8862817805898,1003,payment,False,-0.025107308111578613,False,False
2024-03-01,7144.7815282427,1011,payment,True,4.362399471330368,True,True
2024-03-02,953.5852558340457,1004,payment,False,-0.2409555254109896,False,False
2024-03-03,723.4162564984929,1004,payment,False,-0.4120936329053694,False,False
2024-03-04,700.9483439798323,1010,payment,False,-0.42879925372699546,False,False
